title,steam_url,tags,description
Backrooms: Escape Together,https://store.steampowered.com/app/2141730/Backrooms_Escape_Together/?snr=1_7_7_240_150_2,"Multiplayer, Horror, Online Co-Op, Psychological Horror, Survival Horror, Co-op, Atmospheric, Realistic, First-Person, Early Access, Exploration, Procedural Generation, Adventure, Casual, Puzzle, Action, 3D, Singleplayer, Action-Adventure, Sci-fi","A visually lifelike co-op horror for 1-6 people. Journey through 10 procedurally generated levels, using what's available to survive and progress deeper into the Backrooms."
Resident Evil 3,https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_240_150_2,"Action, Zombies, Horror, Multiplayer, Female Protagonist, Survival Horror, Singleplayer, Remake, Third Person, Co-op, Gore, Third-Person Shooter, Violent, Story Rich, Atmospheric, Adventure, Sexual Content, Classic, Great Soundtrack, Difficult","Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed. To stop her, Umbrella unleashes their ultimate secret weapon: Nemesis! Also includes Resident Evil Resistance, a new 1 vs 4 online multiplayer game set in the Resident Evil universe."
Poppy Playtime - Chapter 5,https://store.steampowered.com/app/4100940/Poppy_Playtime__Chapter_5/?snr=1_7_7_240_150_2,"Horror, Singleplayer, Puzzle, First-Person, Survival Horror, Dark, Mystery, Psychological Horror, Survival, Indie, Atmospheric, Adventure, Lore-Rich, Action, Thriller, 1980s, Cartoony, Action-Adventure, Physics, Jump Scare",No description
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_240_150_2,"Dwarf, Co-op, PvE, FPS, Procedural Generation, Class-Based, Shooter, Exploration, First-Person, Loot, Sci-fi, Action, Space, Atmospheric, Looter Shooter, Combat, Survival, Horror, Dark, Action Roguelike","Deep Rock Galactic is a 1-4 player co-op FPS featuring dwarven space miners, procedurally-generated destructible environments, and endless hordes of alien monsters. Explore cave systems, mine for minerals, and work together to survive!"
Unknown,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_240_150_2,,No description
KLETKA,https://store.steampowered.com/app/1699480/KLETKA/?snr=1_7_7_240_150_2,"Horror, Co-op, Online Co-Op, First-Person, Action, PvE, Adventure, Roguelike, Action-Adventure, Dungeon Crawler, Action Roguelike, 3D, Pixel Graphics, Roguelite, Atmospheric, Dark, Alternate History, Mystery, Old School, Exploration","KLETKA is a co-op (up to 6 players) horror game about going down in an elevator that is trying to eat you. Feed the elevator, explore deadly floors and descend deeper."
White Knuckle,https://store.steampowered.com/app/3195790/White_Knuckle/?snr=1_7_7_240_150_2,"Early Access, Parkour, Horror, First-Person, 3D Platformer, Roguelike, Platformer, Pixel Graphics, Precision Platformer, Adventure, Survival Horror, Old School, Atmospheric, Score Attack, FPS, Dark, Action, Perma Death, Underground, PvE",White Knuckle is a first-person roguelite speed-climbing game. Ascend through the guts of SUB-STRUCTURE 17 using precision movement mechanics. Sharp reflexes and resource management will bring you out from under ten thousand meters of concrete and decay.
Unknown,https://store.steampowered.com/app/2531310/The_Last_of_Us_Part_II_Remastered/?snr=1_7_7_240_150_2,,No description
Outer Wilds,https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_7_7_240_150_2,"Exploration, Space, Mystery, Story Rich, Adventure, Great Soundtrack, Atmospheric, Puzzle, Open World, Singleplayer, Indie, Sci-fi, Horror, First-Person, Beautiful, Psychological Horror, Epic, 3D, Simulation, Action","Named Game of the Year 2019 by Giant Bomb, Polygon, Eurogamer, and The Guardian, Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop."
Resident Evil Village,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_2,"Survival Horror, Horror, First-Person, Singleplayer, Action, Sexual Content, Zombies, Gore, Story Rich, VR, FPS, Atmospheric, Violent, Dark, Psychological Horror, Survival, Adventure, Multiplayer, Open World, Nudity","Experience survival horror like never before in the 8th major installment in the Resident Evil franchise - Resident Evil Village. With detailed graphics, intense first-person action and masterful storytelling, the terror has never felt more realistic."
Drive Beyond Horizons,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/?snr=1_7_7_240_150_2,"Multiplayer, Automobile Sim, Adventure, Driving, Simulation, Action, Exploration, Casual, Co-op, Survival, Open World, Shooter, First-Person, Post-apocalyptic, FPS, Horror, Realistic, Racing, Online Co-Op, Early Access","Rev up your engines and venture into the unknown with Drive Beyond Horizons! Conquer dynamic landscapes, customize your ride, and unearth hidden treasures. Get ready for heart-pounding challenges and endless excitement. Your adventure starts now !"
Unknown,https://store.steampowered.com/app/21690/Resident_Evil_5/?snr=1_7_7_240_150_2,Gore,No description
Pacific Drive,https://store.steampowered.com/app/1458140/Pacific_Drive/?snr=1_7_7_240_150_2,"Driving, Survival, Exploration, Story Rich, Survival Horror, Crafting, Atmospheric, Sci-fi, Adventure, First-Person, Action, Post-apocalyptic, Base Building, Transportation, 3D, Sandbox, Simulation, Horror, Action-Adventure, Building","Face the supernatural dangers of the Olympic Exclusion Zone with a car as your only lifeline in this driving survival adventure! Scavenge resources, load up your trusty station wagon, and drive like hell to make it through alive."
CloverPit,https://store.steampowered.com/app/3314790/CloverPit/?snr=1_7_7_240_150_2,"Gambling, Roguelite, Roguelike, Psychological Horror, Strategy, First-Person, Dark Humor, 3D, Horror, Psychological, Dark, Singleplayer, Indie, Resource Management, Surreal, Multiple Endings, Simulation, Retro, Adventure, Action",A rogue-lite slot machine nightmare. Gamble for your life in a never-ending debt simulator!
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_2,"Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Atmospheric, Survival Horror, Funny, Strategy, Horror, Singleplayer, Action, Roguelike","Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve."
Unknown,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human_Reloaded_Edition/?snr=1_7_7_240_150_2,"Gore, Violent",No description
Unknown,https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/?snr=1_7_7_240_150_2,Gore,No description
Lucid Blocks,https://store.steampowered.com/app/3495730/Lucid_Blocks/?snr=1_7_7_240_150_2,"Psychedelic, Surreal, Atmospheric, Open World, Psychological Horror, Sandbox, Voxel, Horror, 3D, First-Person, Pixel Graphics, Exploration, Lovecraftian, Procedural Generation, Crafting, Building, Survival, Adventure, Action-Adventure, Action","Explore, build, and survive in a cryptic expanse oozing with dreamlike oddities and esoteric critters."
Subnautica: Below Zero,https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_240_150_2,"Open World Survival Craft, Survival, Underwater, Singleplayer, Open World, Horror, Exploration, Base Building, Multiplayer, Indie, Adventure, Crafting, First-Person, Survival Horror, Sci-fi, Aliens, Action, Story Rich, Atmospheric, Sandbox","Dive into a freezing underwater adventure on an alien planet. Below Zero is set two years after the original Subnautica. Return to Planet 4546B to uncover the truth behind a deadly cover-up. Survive by building habitats, crafting tools, & diving deeper into the world of Subnautica."
Unknown,https://store.steampowered.com/app/1282100/REMNANT_II/?snr=1_7_7_240_150_2,,No description
MIMESIS,https://store.steampowered.com/app/2827200/MIMESIS/?snr=1_7_7_240_150_2,"Early Access, Online Co-Op, Horror, Funny, Psychological Horror, Survival Horror, PvE, Action, Exploration, First-Person, Action-Adventure, Casual, Procedural Generation, Time Management, Sci-fi, Supernatural, Atmospheric, Dungeon Crawler, Indie, PvP","4 Player co-op survival horror game. When the cursed rain falls, 'Mimesis' appear, perfectly imitating your teammates, bringing a new level of tension you've never experienced before."
Unknown,https://store.steampowered.com/app/532790/Vampire_The_Masquerade__Bloodlines_2/?snr=1_7_7_240_150_2,,No description
Deadzone: Rogue,https://store.steampowered.com/app/3228590/Deadzone_Rogue/?snr=1_7_7_240_150_2,"Roguelike, FPS, Online Co-Op, PvE, Roguelite, Looter Shooter, First-Person, Horror, Dungeon Crawler, Shooter, Action, Post-apocalyptic, Action Roguelike, 3D, Zombies, Sci-fi, Bullet Hell, Atmospheric, Loot, Dark","Deadzone: Rogue is a roguelite FPS set in space. Blast through swarms of hostile machines, combine powerful augments and elements to forge your build, and grow stronger with each run — solo or in co-op."
The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_240_150_2,"Open World Survival Craft, Survival, Horror, Open World, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Singleplayer, Atmospheric, Simulation, Gore, Realistic, Indie, Zombies, Early Access","As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator."
State of Decay 2: Juggernaut Edition,https://store.steampowered.com/app/495420/State_of_Decay_2_Juggernaut_Edition/?snr=1_7_7_240_150_2,"Survival, Open World, Zombies, Base Building, Multiplayer, Co-op, Online Co-Op, Post-apocalyptic, Simulation, Action, RPG, Sandbox, Third Person, Singleplayer, Gore, Horror, Perma Death, Violent, Replay Value, Atmospheric","The dead have risen and civilization has fallen. Now it's up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world – a world where you define what it means to survive in this ultimate zombie survival simulation."
